id,created_at,text
1215027942553571328,2020-01-08 21:50:10,"b'26-yr-old man abducts 17-yr-old girl, stabs her to death for rejecting marriage proposal\nhttps://t.co/LF2y7U3ei2'"
1215027941412765696,2020-01-08 21:50:10,b'CRPF DIG \xe2\x80\x98throws\xe2\x80\x99 hot water on junior\nhttps://t.co/1DgP5XDJAg'
1215020381209157632,2020-01-08 21:20:07,b'2 rockets hit Green Zone in Iran\xe2\x80\x99s Baghdad: Report\nhttps://t.co/74eb03BesT'
1215020007270187008,2020-01-08 21:18:38,"b'Bengal Opposition blames TMC govt for violence, arson\nhttps://t.co/Fr9r10g8Jv'"
1215016240286011392,2020-01-08 21:03:40,b'No proof of shelter-home murders: CBI\nhttps://t.co/lJcQt6w28f'
1215009057548853248,2020-01-08 20:35:07,"b'\xe2\x80\x98Iran standing down, US\xe2\x80\x89ready to embrace peace,\xe2\x80\x99 says Donald Trump\nhttps://t.co/OnsxWhh9A5'"
1215008682192199681,2020-01-08 20:33:38,b'Coal rules eased to spur investment\nhttps://t.co/7WZhh2xUmg'
1215005288312365056,2020-01-08 20:20:09,"b'Unit probing JNU yet to crack DU, Najeeb cases\nhttps://t.co/aXsBQncT3L'"
1215001138795143169,2020-01-08 20:03:39,b'A video turns political heat on Mamata\xe2\x80\x99s TMC government\nhttps://t.co/z4kY3iweAE'
1214999882974412800,2020-01-08 19:58:40,"b'Haryana man kills 16-yr-old-old cousin, makes Rs 5 lakh ransom call: Police\nhttps://t.co/NfndxEAwv2'"
1214999881883865088,2020-01-08 19:58:40,b'Malavika\xe2\x80\x99s Mumbaistan: Mad Respect for Deepika\nhttps://t.co/G2TvQLIHkh'
1214996108784439297,2020-01-08 19:43:40,b'Navy musician to perform on R-Day for 16th time\nhttps://t.co/TKTpGwN2Gy'
1214994849318891520,2020-01-08 19:38:40,"b'Form panel, take action against quacks: Thane mayor\nhttps://t.co/8zj1Ql2AjO'"
1214993953902084096,2020-01-08 19:35:06,b'Five booked for forging land records to claim \xe2\x82\xb933L from firm\nhttps://t.co/OcArdiXTa6'
1214993591283511296,2020-01-08 19:33:40,b'Chandigarh MC clears scheme for special festival vends\nhttps://t.co/Y3pxiVKesj'
1214993590163607552,2020-01-08 19:33:40,b'One more arrested from Bengaluru for smuggling wildlife\nhttps://t.co/IWtOsYltwy'
1214993589060505601,2020-01-08 19:33:39,b'Foreign envoys to visit J&amp;K today\nhttps://t.co/Hgrce9b77a'
1214993587961618432,2020-01-08 19:33:39,b'TMC set to open school for visually impaired\nhttps://t.co/DAN22q1YNH'
1214992331423674369,2020-01-08 19:28:39,b'Patripool rail overbridge to be ready by March:\xe2\x80\x89MSRDC\nhttps://t.co/Ay3RBs2IHh'
1214992330295431168,2020-01-08 19:28:39,"b'Rajasthan minor \xe2\x80\x98abducted\xe2\x80\x99 and taken to MP by Facebook friend, \xe2\x80\x98raped\xe2\x80\x99 for two months\nhttps://t.co/BEf9cg6mP3'"
1214992329196494848,2020-01-08 19:28:39,b'UP rape complainant commits suicide\nhttps://t.co/bqWZYwu8CF'
1214992328093396992,2020-01-08 19:28:39,b'Chandigarh\xe2\x80\x99s first pedestrian underpass between Rose Garden and Sector 17 inaugurated\nhttps://t.co/5HidxndgZd'
