id,created_at,text
1215114724515467267,2020-01-09 03:35:00,"b""India's first indigenous aircraft carrier Vikrant is likely to be commissioned by early 2021.\n\nhttps://t.co/6D72D3oXBa"""
1215099624287035393,2020-01-09 02:35:00,"b""After a power-packed first day, here's the schedule for the second and final day of India's biggest education concl\xe2\x80\xa6 https://t.co/Xlth297zna"""
1215085778205696001,2020-01-09 01:39:59,b'#Editorial| Data has also shown that the skills development plan of the government has fallen short of target by mo\xe2\x80\xa6 https://t.co/oHnRcij5dy'
1215068191338221568,2020-01-09 00:30:06,"b'""India has been identified as a knowledge destination but as Vivekananda said, we cannot monopolise education. We a\xe2\x80\xa6 https://t.co/mL6GmatueO'"
1215053086303100928,2020-01-08 23:30:05,b'WhatsApp group admins in the Union territory of Ladakh have been told to register themselves at police stations.\n\nhttps://t.co/OPzle05rvr'
1215038018115063809,2020-01-08 22:30:12,"b'""The VC of JNU wants students to \'put the past behind. He should follow his advice. He is the past. He should leave\xe2\x80\xa6 https://t.co/WrBUfGgTh7'"
1215022980973125639,2020-01-08 21:30:27,b'\xe2\x80\x9cIt is also a time to reciprocate as AAP had supported us during 2018 and 2019 UP bypolls. We think that AAP has a\xe2\x80\xa6 https://t.co/lejsgJNcrJ'
1215007813451300877,2020-01-08 20:30:11,"b""The apex court sought the government's response in two weeks and tagged the matter along with a similar matter.\n\nhttps://t.co/7mEsAmtumE"""
1214992671913185281,2020-01-08 19:30:01,b'Authorities have advised people not to travel to Shimla and Manali as over 250 roads have been blocked in Himachal\xe2\x80\xa6 https://t.co/TLXiDsx8HH'
1214977639276064769,2020-01-08 18:30:17,"b'""India is a major consumer (of oil) and we are keeping a close eye on the developments,"" Union Minister Dharmendra\xe2\x80\xa6 https://t.co/urNugI9BD6'"
1214975791059980288,2020-01-08 18:22:56,b'. @ShashiTharoor on #NRC | Have a national register for citizens but by not insisting on proofs that 65 per cent of\xe2\x80\xa6 https://t.co/XvZ5CjwL2X'
1214975039398797312,2020-01-08 18:19:57,"b'""Our target is to not build skyscrapers and airports, but rather focus on the individuals residing in state"" said C\xe2\x80\xa6 https://t.co/uzSeT2WuWN'"
1214972218758725632,2020-01-08 18:08:44,"b""RT @Tejasvi_Surya: Chennai,\n\nI'll be part of panel at 10.15 am on 'Republic of India 2.0: Is the Change Fundamental?' with Aniruddha Deshpa\xe2\x80\xa6"""
1214967417262071808,2020-01-08 17:49:39,b'Listen to @ShashiTharoor talk about #CitizenshipAmendmentAct and #NRC at #ThinkEdu2020. \n@PrabhuChawla @ashoswai\xe2\x80\xa6 https://t.co/xz04vKe7cm'
1214963737779671041,2020-01-08 17:35:02,"b'Australia is planning to kill 10,000 camels in order to save water. \nhttps://t.co/LuiOG4eyCC'"
1214954582696058886,2020-01-08 16:58:39,"b""RT @mafoikprajan: Delighted to address #ThinkEdu2020 by @NewIndianXpress on 'why young India needs to study history &amp; culture' in the conte\xe2\x80\xa6"""
1214948643993800712,2020-01-08 16:35:04,"b'""Children need to feel that my culture is about more than snake charmers and Basmati rice. They cannot have a weste\xe2\x80\xa6 https://t.co/PZJAiijkyt'"
1214941856112361472,2020-01-08 16:08:05,"b'RT @XpressCinema: #HappyBirthdayHarrisJayaraj #HBDHarrisJayaraj #HappyBirthdayHarris #HBDHarris \n\nAs #HarrisJayaraj turns 44, we take you o\xe2\x80\xa6'"
1214933538669285376,2020-01-08 15:35:02,b'JNU Vice-Chancellor M Jagadesh Kumar said the university has not made any suggestions to temporarily shut the varsi\xe2\x80\xa6 https://t.co/eY2K2DL8Uw'
1214923255003271170,2020-01-08 14:54:10,b'@ShashiTharoor @PrabhuChawla @gsvasu_TNIE @Xpress_edex @realsarathkumar @sudhirsrinivasn @madhukishwar @jothims Edu\xe2\x80\xa6 https://t.co/IddcxZZeql'
1214921615160442880,2020-01-08 14:47:39,"b""@ShashiTharoor @PrabhuChawla @gsvasu_TNIE @Xpress_edex @realsarathkumar @sudhirsrinivasn 'Who is an Indian: Is Hind\xe2\x80\xa6 https://t.co/9ILbyPRAeS"""
1214920477602246656,2020-01-08 14:43:08,"b""@ShashiTharoor @PrabhuChawla @gsvasu_TNIE @Xpress_edex Actor-politician @realsarathkumar on 'Getting it right: Is o\xe2\x80\xa6 https://t.co/SWGLwV6HOI"""
1214919370897412096,2020-01-08 14:38:44,"b""@ShashiTharoor @PrabhuChawla @gsvasu_TNIE @Xpress_edex Congress MP @ShashiTharoor on 'Why dissent matters and silen\xe2\x80\xa6 https://t.co/N4Vpr2SUUh"""
1214918441792094208,2020-01-08 14:35:03,"b'""We will not allow any strike in Bengal. Those who don\'t have any political existence in the state are trying to ru\xe2\x80\xa6 https://t.co/0kDZaS9Jks'"
1214913614642987008,2020-01-08 14:15:52,"b""@ShashiTharoor @PrabhuChawla @gsvasu_TNIE @Xpress_edex Congress MP @ShashiTharoor talks about 'Why dissent matters\xe2\x80\xa6 https://t.co/MWVcQeXRRH"""
1214909594515886080,2020-01-08 13:59:53,"b'. @ShashiTharoor says, "" Dissent is very much in the air. Democracy is a process and not an event. Elected leaders\xe2\x80\xa6 https://t.co/J6xEfjcR0N'"
1214909314755772416,2020-01-08 13:58:47,"b'RT @Xpress_edex: ""The government is trying to divide the country on the basis of religion, caste and language. The #TukdeTukdeGang,is rulin\xe2\x80\xa6'"
