id,created_at,text
1215105803289423872,2020-01-09 02:59:33,b'#Haryana Govt notifies panel on CID that @anilvijminister ordered https://t.co/NzcfEHn1dW @sushilmanav'
1215105352015872000,2020-01-09 02:57:46,"b'On 5-day China visit, Gen Ranbir holds talks with PLA general  https://t.co/IUqThcaeW8'"
1215105315273707520,2020-01-09 02:57:37,b'Niti\xe2\x80\x99s draft for pvt trains: A 15-minute headstart  https://t.co/7cqaEFyHkP'
1215105313340194816,2020-01-09 02:57:36,b'Union Budget on February 1; session from January 31 https://t.co/L764bZx9aU'
1215105311469527040,2020-01-09 02:57:36,"b'Caught stealing power, 9 Haryana officials fined Rs 7 lakh  https://t.co/LBmGtliL8O @MukeshTandon007'"
1215105309384957953,2020-01-09 02:57:35,b'#JNUSU prez files murder bid plaint; anti-VC march today https://t.co/xAa3COZnoL @anshumalini3'
1215105307552055296,2020-01-09 02:57:35,b'Protesters stall BJP MP\xe2\x80\x99s lecture on CAA in Bengal https://t.co/sfEyuW74TC'
1215105305584881664,2020-01-09 02:57:35,"b'Trade unions\xe2\x80\x99 bandh partial, clashes in West Bengal https://t.co/Sn9rZG57sE'"
1215104382879985665,2020-01-09 02:53:55,"b'A first: China, Pakistan use subs in drills https://t.co/IXSchavXOM'"
1215104379029557248,2020-01-09 02:53:54,b'Pakistan revenue officials testify against Hafiz  https://t.co/dC7UvrExEH'
1215104377049890816,2020-01-09 02:53:53,"b'Amid crisis, Iran envoy says will welcome Indian peace initiative  https://t.co/OTa2JfWorD'"
1215104375082770432,2020-01-09 02:53:53,b'Thread | The Tribune front page stories\n\nReady to embrace peace: US  https://t.co/bkkxuej1vq'
1215102286940139520,2020-01-09 02:45:35,"b'#HimachalPradesh: Braving chill, trade unions protest Centre\xe2\x80\x99s policies  https://t.co/qBFiF3N2Ar'"
1215101330391306241,2020-01-09 02:41:47,b'#Shimla MC gets going to earn \xe2\x80\x98cleanest city\xe2\x80\x99 tag  https://t.co/8AYmNBWwIi @Kuldeep00181775'
1215100804928950278,2020-01-09 02:39:42,b'#HimachalPradesh: India\xe2\x80\x99s first voter Shyam Saran Negi taken ill  https://t.co/prYhHdg2Th'
1215099854440894464,2020-01-09 02:35:55,b'#HimachalPradesh: Naddi and Dharamkot received 2-inch snowfa https://t.co/mra4Ovtvce'
1215099403809148928,2020-01-09 02:34:07,"b'#HimachalPradesh:  Snow-clearing operations remained hit, with 879 roads, including five national highways, closed\xe2\x80\xa6 https://t.co/auf2h03K4x'"
1215098185045037056,2020-01-09 02:29:17,"b'#HimachalPradesh: For better upkeep, state seeks control of Khab-Gramphu road  https://t.co/9UHtaEtL02'"
1215097085332033536,2020-01-09 02:24:55,"b'Jio voice, video calling over Wi-Fi  https://t.co/tf1soxvEFW'"
1215096678903996416,2020-01-09 02:23:18,b'Exporters halt basmati shipments to Iran on credit\n\n@vijaycroy https://t.co/tU0MPRdFse'
1215094177890877440,2020-01-09 02:13:22,"b'#Opinion: Lessons for India from Soleimani killing, writes Group Captain Murli Menon (Retd) https://t.co/LjBFMoAFzc'"
1215093255177523200,2020-01-09 02:09:42,"b'#Opinion: The alliance of baton wielders and power wielders is nothing new in Indian polity, writes Vikash Narain R\xe2\x80\xa6 https://t.co/2V6mOeysXT'"
1215092679073075201,2020-01-09 02:07:24,"b'#Opinion: Despite vowing to do things differently, Imran has been unable to break away from army, writes G Parthasa\xe2\x80\xa6 https://t.co/ieduWFGP9Z'"
1215092207465578497,2020-01-09 02:05:32,b'TribuneEdit: Final vindication only when all girls feel safe\n https://t.co/VfHFC2ebhi'
1215090486177718272,2020-01-09 01:58:41,"b'TribuneEdit: Attracting investment needs stability, vision https://t.co/RWEidKo7ae'"
1215012035336916992,2020-01-08 20:46:57,"b'#BharatBandh: Violence, arson across Bengal; normal life disrupted in #Punjab; #Haryana partially hit \n https://t.co/RlNCverCLK'"
1215011972988588032,2020-01-08 20:46:42,"b'#Muzaffarpur shelter home case: No evidence found of murder of children, CBI tells SC \n https://t.co/V62KApUf17'"
1214991478251905029,2020-01-08 19:25:16,b'Acid attack survivor #LaxmiAgarwal\xe2\x80\x99s lawyer to take legal action against \xe2\x80\x98#Chhapaak\xe2\x80\x99 \n https://t.co/vZVGmFcYLE'
1214979581980991488,2020-01-08 18:38:00,"b'Turkey, Russia call on US, Iran to prioritise diplomacy https://t.co/CbrRdTjt6X'"
1214975052677955584,2020-01-08 18:20:00,b'No ulterior motive behind \xe2\x80\x98Free Kashmir\xe2\x80\x99 poster: Woman to cops https://t.co/lIzuTctZfg'
1214971529144029186,2020-01-08 18:06:00,b'Asthana case: CBI director told to appear in court on Feb 10 if probe not completed https://t.co/Ey3Q3OLhZb'
1214967598724481024,2020-01-08 17:50:23,"b'16 envoys from Latin American, African countries to visit J-K on Thursday https://t.co/fY3oHjgqCs'"
