id,created_at,text
1215105915482824704,2020-01-09 03:00:00,"b""Several discrepancies, in FIRs, in purported time stamps and in motivation, has called the Delhi Police's role into\xe2\x80\xa6 https://t.co/FWsevUzAcm"""
1215093331669266437,2020-01-09 02:10:00,"b'On January 8, workers and activists gathered at Patna\xe2\x80\x99s Dak Bungla Chowk and raised slogans against the government\xe2\x80\x99\xe2\x80\xa6 https://t.co/eFNVhstMBS'"
1215088298256764928,2020-01-09 01:50:00,b'No names of the countries which are part of this first group of diplomats have been announced yet.\n\nhttps://t.co/lM8rGrNQVu'
1215083265381388288,2020-01-09 01:30:00,"b'According to one Visva-Bharati faculty member who did not want to be named, the lecture had been open to all, inclu\xe2\x80\xa6 https://t.co/v80yNckA9M'"
1214957436060094464,2020-01-08 17:10:00,"b'""When I walked back home much past midnight, it was not with an injury from a heavy stone which hit me on my forehe\xe2\x80\xa6 https://t.co/wO5GW7IWrU'"
1214952402895261697,2020-01-08 16:50:00,b'The Police in Kargil sector in the recently created Union Territory of Ladakh have issued an order asking WhatsApp\xe2\x80\xa6 https://t.co/PGZFB0JJKq'
1214948628214829057,2020-01-08 16:35:00,b'\xe2\x80\x9cThe women police on duty at our (Gupkar) residence manhandled me and pushed me back when I tried to come out and v\xe2\x80\xa6 https://t.co/H7burrJhLy'
1214944853282439179,2020-01-08 16:20:00,"b'""Terrified, we called our friends to come help us. \n\nWhen they arrived at the scene, the mob pushed and threatened\xe2\x80\xa6 https://t.co/bCvQJ9Wiz2'"
1214939821187059712,2020-01-08 16:00:00,"b'Some of the hospitals ran out of medicines and some equipment during the communications blockade, and couldn\xe2\x80\x99t plac\xe2\x80\xa6 https://t.co/kzoNtZZxiD'"
1214934190912761860,2020-01-08 15:37:38,"b'The Central Information Commission, the apex body for the implementation of the Right to Information Act, has direc\xe2\x80\xa6 https://t.co/jWxuiM0byq'"
1214929768522514432,2020-01-08 15:20:03,b'The countrywide strike called by trade unions materialised in the form of protest marches across India on Wednesday\xe2\x80\xa6 https://t.co/rtrPc2wNpC'
1214927237155303424,2020-01-08 15:10:00,"b'""When you allow thugs to do what they did in full public view to students of India\xe2\x80\x99s top university, you are tellin\xe2\x80\xa6 https://t.co/VUtdwAkf5K'"
1214922203931783169,2020-01-08 14:50:00,"b'The burning question remains, for a country with a sizeable young population more than 600 million: What do the you\xe2\x80\xa6 https://t.co/NUzl5izbbQ'"
1214917509607915521,2020-01-08 14:31:21,"b'""It is like a bully snatching a sandwich from a child in school, and the teacher giving a \xe2\x80\x98balanced decision\xe2\x80\x99 that\xe2\x80\xa6 https://t.co/Vc92QdAHz5'"
1214912137799380993,2020-01-08 14:10:00,"b'Calling the CAA unconstitutional, the statement pointed out that the NRC was exclusionary to transpersons and that\xe2\x80\xa6 https://t.co/Q4XYg0TwsZ'"
1214906264590794754,2020-01-08 13:46:40,b'India plans to amend proposed rules for policing digital content so the toughest measures apply only to big social\xe2\x80\xa6 https://t.co/DQnUC9CJIi'
1214899181673861120,2020-01-08 13:18:31,"b""The BJP\xe2\x80\x99s reaction made it clear that @deepikapadukone's presence at the meeting was enough to alarm the party.\xe2\x80\xa6 https://t.co/3jvxGAKSQI"""
1214881410579755009,2020-01-08 12:07:54,"b'""The attacks on students occurred with the explicit approval of a ruling political leadership, the functionaries of\xe2\x80\xa6 https://t.co/L46O0EbeQL'"
1214876905444380675,2020-01-08 11:50:00,b'The world generated 242 million tonnes of plastic waste in 2016 \xe2\x80\x93 a figure that\xe2\x80\x99s expected to grow by 70% in the ne\xe2\x80\xa6 https://t.co/r7N6dkCSOm'
1214871872157798403,2020-01-08 11:30:00,b'The Supreme Court has stayed a Bombay high court order which had effectively stopped an investigation by India\xe2\x80\x99s cu\xe2\x80\xa6 https://t.co/hauev4g7fx'
1214868094373380096,2020-01-08 11:14:59,"b""Alt News found that @TajinderBagga's claim about protesters chanting, \xe2\x80\x9cHinduo se azadi\xe2\x80\x9d, is patently false.\xe2\x80\xa6 https://t.co/JufZd9OEp5"""
1214861806029570049,2020-01-08 10:50:00,b'People are afraid that the very act of protesting might earn them the epithet of being anti-national. \n\nThe nationa\xe2\x80\xa6 https://t.co/KDXv9JRDxj'
1214856773552820224,2020-01-08 10:30:00,"b'The Government of India on Wednesday issued a travel advisory, asking citizens to avoid non-essential travel to Ira\xe2\x80\xa6 https://t.co/xmF0nKdS7k'"
1214852997911498758,2020-01-08 10:15:00,"b'CPI MP Binoy Viswam has given a notice to the Rajya Sabha for alleged breach of privilege by Amit Shah, accusing hi\xe2\x80\xa6 https://t.co/wiFxTuMACt'"
1214848965310472199,2020-01-08 09:58:58,b'Nobel laureate Amartya Sen on Tuesday claimed that the Citizenship (Amendment) Act violates constitutional provisio\xe2\x80\xa6 https://t.co/aDFea42zSy'
1214840606985338880,2020-01-08 09:25:46,b'Two women were evicted from their home for holding up a banner protesting against the CAA during Amit Shah\xe2\x80\x99s rally\xe2\x80\xa6 https://t.co/vt4vh9yBzm'
1214831606961033216,2020-01-08 08:50:00,"b'While this is an extremely important first step in protecting street vendors\xe2\x80\x99 livelihoods, the Act will be unable t\xe2\x80\xa6 https://t.co/WMaY8MPbVf'"
1214826573599129600,2020-01-08 08:30:00,"b'On the nine-judge bench, which will hear the Sabarimala matter from January 13, there are no judges from the previo\xe2\x80\xa6 https://t.co/SnZoUM47x2'"
1214821540694560768,2020-01-08 08:10:00,b'Statements about the imminent land-use changes in J&amp;K have caused consternation among common people and environment\xe2\x80\xa6 https://t.co/DaRZ8yMjAJ'
1214816507361820672,2020-01-08 07:50:00,b'One source said early indications were of no US casualties. Other US officials declined to comment.\n\nIran\xe2\x80\x99s Islamic\xe2\x80\xa6 https://t.co/yIGjWBn1bV'
1214811474192818176,2020-01-08 07:30:00,"b'The Indigenous Peoples Front of Tripura (IPFT), an ally of the ruling BJP in the state on Monday launched an indefi\xe2\x80\xa6 https://t.co/iTYyqaXW8p'"
1214808750080450560,2020-01-08 07:19:10,b'Prime Minister Narendra Modi has cancelled his scheduled inauguration of the Khelo India Youth Games 2020 in Guwaha\xe2\x80\xa6 https://t.co/DW3Y24xH1j'
1214801407976574981,2020-01-08 06:50:00,b'In Delhi even rains will not impact on the movement as workers\xe2\x80\x99 processions will be taken out in industrial areas o\xe2\x80\xa6 https://t.co/rMF6yGkYxA'
1214796375025696768,2020-01-08 06:30:00,b'\xe2\x80\x9cWe are fully aware that this law is against the Constitution. BJP-RSS workers need not come here to explain their\xe2\x80\xa6 https://t.co/O1xDeTMei2'
1214791341562949633,2020-01-08 06:10:00,b'Long-term data sets from satellites don\xe2\x80\x99t stir the general public like the drama of a crewed mission to Mars. \n\nBut\xe2\x80\xa6 https://t.co/9sMDFdPGGZ'
