id,created_at,text
1215113464101785601,2020-01-09 03:30:00,b'Donald Trump backed away from days of angry rhetoric against Iran as the two countries tried to defuse a crisis ove\xe2\x80\xa6 https://t.co/WgyBdla3mD'
1215105914618798080,2020-01-09 03:00:00,"b'It was unclear what caused the disaster, but the aircraft, a Boeing 737-800, went down amid an escalating, violent\xe2\x80\xa6 https://t.co/IQAfqoylSj'"
1215098364485951493,2020-01-09 02:30:00,"b'So far, the BJP has rarely missed a chance to lash out at anyone expressing solidarity with the Left-leaning studen\xe2\x80\xa6 https://t.co/HMrqm3YJZ3'"
1215090438899548160,2020-01-09 01:58:30,"b'St. Stephen\xe2\x80\x99s College, an oasis of political tranquillity that sends no representative to the Delhi University Stud\xe2\x80\xa6 https://t.co/mk4DEy46YR'"
1214971277523374080,2020-01-08 18:05:00,b'A chat with the duo who star in Asur\xe2\x80\xa6 \nhttps://t.co/Nxuf8NKdr0'
1214962470617591811,2020-01-08 17:30:00,"b'In the run-up to the release of the four-in-one film on Netflix, we spent some time in Mumbai chatting with Zoya, J\xe2\x80\xa6 https://t.co/2v4QgW6JCp'"
1214947371445936128,2020-01-08 16:30:00,"b'Huzaifa Pandit, a 31-year-old Kashmiri poet and research scholar, who published his first poetry collection \xe2\x80\x9cGreen\xe2\x80\xa6 https://t.co/wMxAYTXH1L'"
1214924722971918336,2020-01-08 15:00:00,"b'An Indian Pahari painting, said to be \xe2\x80\x9ca masterpiece unparalleled in North Indian art\xe2\x80\x9d, has been acquired by the Br\xe2\x80\xa6 https://t.co/DCeeIVhcCf'"
1214917172067045383,2020-01-08 14:30:00,b'The managing director of Muthoot Finance suffered injuries in stone pelting on his car in Kerala\xe2\x80\x99s Kochi on Tuesday\xe2\x80\xa6 https://t.co/Z8DwSOCbk6'
1214909621598445569,2020-01-08 14:00:00,b'The managing director of Accenture Solutions on Tuesday said he \xe2\x80\x9cnever agreed to speak at or attend\xe2\x80\x9d an RSS-organis\xe2\x80\xa6 https://t.co/NF3PaWWCoi'
1214902071687864320,2020-01-08 13:30:00,b'The veil is off Kashmiri politicians who have been hobnobbing with New Delhi after Article 370 was scrapped.\nhttps://t.co/qv9ieHavjf'
1214900226512711680,2020-01-08 13:22:40,"b'Oil prices rose and stocks fell as Asian markets began trading on Wednesday, following the news that Iran had launc\xe2\x80\xa6 https://t.co/5jaUxNniCV'"
1214894983116816384,2020-01-08 13:01:50,"b'Delhi chief minister Arvind Kejriwal has accused BJP leader Manoj Tiwari of ""making fun"" of the public by promising\xe2\x80\xa6 https://t.co/GAx0BNrp43'"
1214894524373372929,2020-01-08 13:00:00,b'A bench of Chief Justice Govind Mathur and Justice Vivek Varma took suo moto cognisance of incidents that took plac\xe2\x80\xa6 https://t.co/ZnZPHupPK7'
1214886971606044673,2020-01-08 12:30:00,b'The ministerial panel on Air India decided to issue expression of interest for the sale of the ailing carrier later\xe2\x80\xa6 https://t.co/2xruxNDNbH'
1214882706934267908,2020-01-08 12:13:03,b'Protesters took to the street in various parts of the country on Wednesday after a nationwide one-day bandh was cal\xe2\x80\xa6 https://t.co/wNpkpLjfI6'
1214879426128691200,2020-01-08 12:00:01,"b'""Khelo India, Bhago Modi\xe2\x80\x9d slogan will greet Narendra Modi if he visits Assam to inaugurate the Khelo India Youth Ga\xe2\x80\xa6 https://t.co/UzbTYhcQIt'"
