id,created_at,text
1215117239034241029,2020-01-09 03:45:00,"b'The #US will immediately impose punishing economic sanctions against #Iran, says #DonaldTrump \xe2\x81\xa0|\xe2\x80\xa6 https://t.co/GBAcOeEo80'"
1215113464726859777,2020-01-09 03:30:00,"b'In Pics: Once unloved, threatened storks given new hope in Indian zoo https://t.co/Qq2YplU7kB https://t.co/SFVitqW2c9'"
1215112370063732736,2020-01-09 03:25:39,b'RT @ETMarkets: Day planner | https://t.co/TxEFpb4nIA https://t.co/EAegxuyDsV'
1215109689488433153,2020-01-09 03:15:00,"b""New Delhi tries to curb imports from #Malaysia following criticism from Kuala Lumpur on India's actions in the\xe2\x80\xa6 https://t.co/rV19sr9BPE"""
1215107775165894658,2020-01-09 03:07:23,b'RT @ETMarkets: Here are a few #stocks which may buzz the most in today\xe2\x80\x99s trade\nhttps://t.co/Y9VMCKBBDM'
1215105914958753794,2020-01-09 03:00:00,b'This carrier is being built at the Cochin Shipyard Limited (CSL) in Kochi https://t.co/mn8hEXesrf'
1215105181563547648,2020-01-09 02:57:05,"b""RT @ETMarkets: Good Morning! Here's what might matter on #DalalStreet today\nhttps://t.co/BJ8unNK3dK"""
1215104720026497025,2020-01-09 02:55:15,b'RT @ETOpinion: #TheSpeakingTree | Feeling That\xe2\x80\x99s Personalised.\n\nhttps://t.co/Ah5MyUdQQ7 https://t.co/GYgQjohgnt'
1215102139585847296,2020-01-09 02:45:00,b'Union Cabinet on Wednesday approved the ratification of a migration and mobility partnership agreement between\xe2\x80\xa6 https://t.co/Rd3wD0oD12'
1215098365165223936,2020-01-09 02:30:00,b'Delhi High Court Wednesday asked the CBI Director to be present before it on February 10 if the agency fails to com\xe2\x80\xa6 https://t.co/yKNSqPYn17'
1215094589893201921,2020-01-09 02:15:00,"b'#TikTok has expanded its community guidelines to further ban \xe2\x80\x98misleading\xe2\x80\x99 information that causes harm, content tha\xe2\x80\xa6 https://t.co/r0NXLpeCNi'"
1215090816693174273,2020-01-09 02:00:00,"b'Terming the appointment of a Chief of Defence Staff (CDS) as a welcome move, former Army chief General (retd) Shank\xe2\x80\xa6 https://t.co/31SldBs4kh'"
1215087039986552832,2020-01-09 01:45:00,"b'#TamilNadu govt told the Assembly that dual citizenship to Sri Lankan Tamil refugees was ""possible"" and wanted the\xe2\x80\xa6 https://t.co/neXgS0qrnZ'"
1215083265540923397,2020-01-09 01:30:00,b'An alumnus of @iitmadras has donated Rs 1 crore to establish a \xe2\x80\x98Robotics Research and Teaching Laboratory\xe2\x80\x99 in the d\xe2\x80\xa6 https://t.co/das8Q91ta3'
1215075716674408449,2020-01-09 01:00:00,"b""#Facebook and #eBay have promised to better identify, probe and respond to fake and misleading reviews, Britain's C\xe2\x80\xa6 https://t.co/C0Fjc2VRbp"""
1215068166063153152,2020-01-09 00:30:00,b'.@richardbranson took to #SocialMedia to break down some popular #Phishing scams that used his name https://t.co/XhkBqORBVo'
1215060617242931201,2020-01-09 00:00:00,b'Noisy scenes were witnessed in the Maharashtra Legislative Council when Pravin Darekar of BJP claimed that Nehru an\xe2\x80\xa6 https://t.co/e7hKx6Zask'
1215053066682228736,2020-01-08 23:30:00,b'Authorities on Wednesday advised people not to travel to popular tourist destinations #Shimla and #Manali as over 2\xe2\x80\xa6 https://t.co/wygQUvOjzU'
1215045518105235456,2020-01-08 23:00:00,"b'Cabinet on Wednesday approved a proposal to provide Rs 5,559 crore viability gap funding for building a 1,656 km ga\xe2\x80\xa6 https://t.co/BQ7tSjrxWq'"
1215037966713671680,2020-01-08 22:30:00,b'The devastation has seen a host of sports stars pledge money https://t.co/7pwHopNs3h'
1215030419550298113,2020-01-08 22:00:00,"b'Navies of China and Pakistan, holding nine-day exercises in the Arabian Sea to enhance their all-weather strategic\xe2\x80\xa6 https://t.co/5XBzrb1dyg'"
1215022867676618753,2020-01-08 21:30:00,"b""Australian fast bowling great Jeff Thomson has decided to auction his precious 'Baggy Green' cap and cricket vest t\xe2\x80\xa6 https://t.co/yYCG9EHH9p"""
1215015320106283010,2020-01-08 21:00:00,"b'@PrakashJavdekar @deepikapadukone ""Why only artistes, any common man can go anywhere to express his opinion, there\xe2\x80\xa6 https://t.co/4MMUzETMA1'"
