id,created_at,text
1215114390258642944,2020-01-09 03:33:41,"b'Listen: \xe2\x80\x98Ve Musalman The,\xe2\x80\x99 a powerful composition by Hindi poet Devi Prasad Mishra\n\nhttps://t.co/DgRXfGKKSw'"
1215114264798646273,2020-01-09 03:33:11,b'Delhi: One killed after fire breaks out in paper factory\n\nhttps://t.co/4NHVpD2xs0 https://t.co/vkTFJAfUso'
1215113715793698816,2020-01-09 03:31:00,"b'No, Deepika Padukone\xe2\x80\x99s \xe2\x80\x98Chhapaak\xe2\x80\x99 does not portray Muslim acid attack convict as Hindu named Rajesh\xe2\x80\xa6 https://t.co/uVKuiWngHK'"
1215108897691725824,2020-01-09 03:11:51,b'A look at the headlines right now.\n\nhttps://t.co/TVLslGbxKj'
1215108789218639872,2020-01-09 03:11:25,"b'The first information report, which https://t.co/cbbiMGmnGb accessed, shows that the protestors have been charged u\xe2\x80\xa6 https://t.co/ht4v1xf8mS'"
1215108682867855361,2020-01-09 03:11:00,b'Voices from the labour strike: Why workers across India observed a \xe2\x80\x98Bharat bandh\xe2\x80\x99 on Wednesday\xe2\x80\xa6 https://t.co/KyARk8YIU2'
1215103397721862144,2020-01-09 02:50:00,"b'Trump\xe2\x80\x99s trade war with China benefits lobbyists, but is bleeding small US businesses dry\nhttps://t.co/Lv7Jw2YONe'"
1215100586191769602,2020-01-09 02:38:49,"b'JNU attacks: In colleges, universities, and outside, protests rage across the country\n\nhttps://t.co/N9WCEejPJl'"
1215098364515291137,2020-01-09 02:30:00,"b'From supporting the NRC in Assam to opposing the exercise across India, @chetan_bhagat has come a long way.  https://t.co/oySu5vEBrO'"
1215093331425812480,2020-01-09 02:10:00,"b'In a bid to #BoycottChhapaak, many trolls tweet cancelled movie tickets \xe2\x80\x93 for exactly the same seats\xe2\x80\xa6 https://t.co/fwvKnL8i5f'"
1215088298445692929,2020-01-09 01:50:00,b'Indians just can\xe2\x80\x99t stand people whose political opinions are different from theirs \xe2\x80\x93 be it on Twitter or inside a b\xe2\x80\xa6 https://t.co/mU40CBRih0'
1215083265691922432,2020-01-09 01:30:00,b'\xe2\x80\x98We are not scared\xe2\x80\x99: Why @deepikapadukone\xe2\x80\x99s JNU visit matters https://t.co/qNFxF8rEdp'
1215078232053166080,2020-01-09 01:10:00,"b'From Amit Shah\xe2\x80\x99s \xe2\x80\x98Netflix\xe2\x80\x99 missed call campaign to Bollywood meetings, BJP is hoping to change the narrative on the\xe2\x80\xa6 https://t.co/Ja6q1bRDp5'"
1215073198846308353,2020-01-09 00:50:00,b'You are founded on the biggest physical and cultural genocide ever witnessed in history. How could I have believed\xe2\x80\xa6 https://t.co/q0KwEJCegx'
1215068166159831041,2020-01-09 00:30:00,"b""A product of the party's quiet Bollywood outreach dinner? https://t.co/WaVMLEyUCr"""
1215060617490382848,2020-01-09 00:00:00,"b'Watch: Gujarat\xe2\x80\x99s Jignesh Mevani condemns JNU attack, says it has come after strategic propaganda https://t.co/mCdbV3icsm'"
1215053066577203201,2020-01-08 23:30:00,b'#JNUAttack: Watch demonstrations in Lahore in solidarity with Indian students https://t.co/aQmMlzHd6B'
1215045517903835136,2020-01-08 23:00:00,b'The attack was mounted in retaliation to the assassination of top Iranian military commander General Qassem Soleima\xe2\x80\xa6 https://t.co/tHVPifTBoh'
1215037967602864129,2020-01-08 22:30:00,b'A global development organisation has helped devise a method to increase the shelf life of the produce. https://t.co/APQNnYYleJ'
1215030418296078337,2020-01-08 22:00:00,b'Immigrants must come together to defeat a broken immigration system and laws that pit them against each other. https://t.co/WaBWRyIsF2'
1215022867395600385,2020-01-08 21:30:00,b'Watch: Indian \xe2\x80\x98Spy Princess\xe2\x80\x99 Noor Inayat Khan and Ada Lovelace appear in latest #DoctorWho episode\nhttps://t.co/rwT1BkpmcU'
1215015317472206848,2020-01-08 21:00:00,b'This narrows approaches often often worsens existing vulnerabilities like socio-economic disparities. https://t.co/DL0Sws8PUT'
1215007768102363137,2020-01-08 20:30:00,"b'With 928 points, Kohli is way ahead of second-placed Australian maestro Steve Smith (911). https://t.co/rbm5nsmZRY (via @thefield_in)'"
1215000218921390081,2020-01-08 20:00:00,b'The Nobel laureate said the amended citizenship law was unconstitutional and the Supreme Court should turn it down. https://t.co/P0B2PF5UxK'
1214992668784095233,2020-01-08 19:30:00,b'The kind of shots he has is superb: Gautam Gambhir praises India opener KL Rahul for his good form\xe2\x80\xa6 https://t.co/AAkHUzf105'
1214987635288084481,2020-01-08 19:10:00,b'Establishment-friendly news anchor Anjana Om Kashyap says CAA and NRC can be a \xe2\x80\x98lethal combination\xe2\x80\x99 https://t.co/Qo10NMBovK'
1214982602077212672,2020-01-08 18:50:00,b'JNU attacks: Watch elderly man dancing at the Gateway of India protest in Mumbai https://t.co/3ddBGjmsf3'
1214978291938938880,2020-01-08 18:32:52,"b'This novel is a breathless ride through love and sex, power and slavery, crime and trafficking https://t.co/6XEqIIRMky'"
1214977568857894917,2020-01-08 18:30:00,b'Watch: Philosopher Daniel Dennett explains that we don\xe2\x80\x99t see as much or as deeply as we think we do https://t.co/BjGa1kGhrW'
1214973555462545411,2020-01-08 18:14:03,"b'Maharashtra district polls: BJP loses five zilla parishads, including RSS bastion Nagpur\nhttps://t.co/yVV8pKRL3k'"
1214972535579693056,2020-01-08 18:10:00,"b'\xe2\x80\x98A mob was at our door in 5 minutes\xe2\x80\x99: Surya Rajappan, evicted from her Delhi house for opposing CAA\xe2\x80\xa6 https://t.co/CV7cMvRYVI'"
