id,created_at,text
1215114001819922432,2020-01-09 03:32:08,b'RT @TheHinduComment: Comment | Educational reform is long overdue in the Indian military\nhttps://t.co/7qpKnomMxU'
1215113992978305024,2020-01-09 03:32:06,b'RT @TheHinduSports: Sandeep Patil went to the extent of calling the four-day Test a \xe2\x80\x98nonsense\xe2\x80\x99 \nhttps://t.co/uWSjnRJmIH'
1215113984799494145,2020-01-09 03:32:04,"b'RT @THMetroPlus: Despite all its gizmos and practicality, the Vellfire\xe2\x80\x99s interior still feels like a Toyota interior with a dashboard that\xe2\x80\xa6'"
1215113216839147520,2020-01-09 03:29:01,b'RT @TheHinduComment: Comment | The Centre-State conflict over #CAA in some places may lead to a fresh debate on the federal question\nhttps:\xe2\x80\xa6'
1215113200229699585,2020-01-09 03:28:57,b'RT @TheHinduSports: The successful hosting of the 2019 FIFA Club World Cup has given ample evidence of Qatar\xe2\x80\x99s readiness to host West Asia\xe2\x80\x99\xe2\x80\xa6'
1215113187311284224,2020-01-09 03:28:54,b'RT @TheHinduBooks: The much-awaited shortlists for The Hindu Prize 2019 #Fiction and #NonFiction are out\nhttps://t.co/a0cTJaQUZL'
1215110971364167680,2020-01-09 03:20:05,"b'Industrial workers, bank employees and students went on a strike yesterday in parts of the country against what the\xe2\x80\xa6 https://t.co/UQuRYKppug'"
1215108008012697601,2020-01-09 03:08:19,b'RT @TheHinduCinema: Celebrations started as early as 3.30 AM at the #DarbarFDFS  all over #Chennai as #Rajinikanth fans got ready to celebr\xe2\x80\xa6'
1215106374973018113,2020-01-09 03:01:50,"b""RT @TheHinduCinema: Celebrations underway at the early morning show of #Rajinikanth's #DarbarFDFS at Vettri Theatres in Chennai \n\n#Darbar h\xe2\x80\xa6"""
1215105937448624128,2020-01-09 03:00:05,"b'A shocking case has emerged in north #Gujarat where a 19-year-old Dalit woman was allegedly kidnapped, gangraped an\xe2\x80\xa6 https://t.co/9yGaFKMTu1'"
1215104062993006593,2020-01-09 02:52:38,b'RT @TheHinduComment: Comment | Muslims around the world are being pushed to the wall but they must avoid the Islamist trap\nhttps://t.co/8Cs\xe2\x80\xa6'
1215100905382694912,2020-01-09 02:40:05,"b'Govt to take a delegation of foreign envoys for a two-day visit to Jammu and Kashmir, in an official visit which ma\xe2\x80\xa6 https://t.co/ge13pxscQD'"
1215098932461592576,2020-01-09 02:32:15,"b'RT @TheHinduSports: #DakarRally | It was a day for Hero MotoSports Team Rally to rejoice at the Dakar Rally, but it knows much more remains\xe2\x80\xa6'"
1215098923510972416,2020-01-09 02:32:13,"b'RT @TheHinduComment: Comment | The contours of the new order, with India and China as key players, should not be seen through a western pri\xe2\x80\xa6'"
1215098913302073344,2020-01-09 02:32:11,"b""RT @THBriefcase: India's Ronaldo scripts history, is now the Junior World No. 1 in individual sprint in the latest international cycling un\xe2\x80\xa6"""
1215097423464288256,2020-01-09 02:26:15,b'RT @TheHinduComment: Editorial | Misplaced optimism needs to cede ground to tangible policy interventions with regard to #GDP growth\nhttps:\xe2\x80\xa6'
1215097415398608896,2020-01-09 02:26:13,"b'RT @TheHinduSports: A batch of young athletes, flying the dedicated Spicejet airlines, for the Khelo India Youth Games in Guwahati, were gi\xe2\x80\xa6'"
1215097406829629441,2020-01-09 02:26:11,b'RT @TheHinduComment: Editorial | U.S. President Trump did well to shrug off Iran\xe2\x80\x99s retaliatory strike\n\n#Iran #DonaldTrump\nhttps://t.co/Af6Y\xe2\x80\xa6'
1215095853901328384,2020-01-09 02:20:01,b'U.S. President Donald Trump backs away from days of rhetoric against #Iran as the two countries tried to defuse a c\xe2\x80\xa6 https://t.co/MHGgat7noY'
1215091087569825793,2020-01-09 02:01:05,"b""Two rockets crash into the Iraqi capital's Green Zone, the high-security enclave where foreign embassies including\xe2\x80\xa6 https://t.co/FREv3v0yMi"""
1215086267031085057,2020-01-09 01:41:55,"b'Prince Harry and Meghan Markle say they plan \xe2\x80\x9cto step back\xe2\x80\x9d as senior members of Britain\xe2\x80\x99s royal family, an announc\xe2\x80\xa6 https://t.co/N7X3TRIvIG'"
1215085401070661632,2020-01-09 01:38:29,b'RT @TheHinduSports: The country\xe2\x80\x99s richest prize-money chess tournament is back today with bigger prize-money on offer.\nhttps://t.co/Cf3bsaM\xe2\x80\xa6'
1215083306133442560,2020-01-09 01:30:09,"b'\xe2\x80\x9cThe fact that we have this great #military and equipment, however, does not mean we have to use it. We do not want\xe2\x80\xa6 https://t.co/swgyaSOILW'"
1215079007097585666,2020-01-09 01:13:05,b'India currently imports more than 85% of its crude oil requirements\nhttps://t.co/zy6pgqJWfR'
1215078258540187648,2020-01-09 01:10:06,"b""Two rockets crashed late Wednesday into the Iraqi capital's Green Zone, the high-security enclave where foreign emb\xe2\x80\xa6 https://t.co/zl3fpjncf5"""
1215073737453731840,2020-01-09 00:52:08,b'Onshore talent shortage could offer advantage to Indian IT firms\nhttps://t.co/mqW0UaKjMG'
1215068190797070336,2020-01-09 00:30:06,"b'In the 58-seat Nagpur ZP, the BJP could manage only 15 seats while the Congress reigned supreme snaring 31 seats\nhttps://t.co/mDXQzsuyDd'"
1215058344727207939,2020-01-08 23:50:58,b'Sri Lanka\xe2\x80\x99s Minister of Foreign Relations Dinesh Gunawardena will hold bilateral discussions in New Delhi on Thursd\xe2\x80\xa6 https://t.co/S3A0PU34GV'
1215057360118525957,2020-01-08 23:47:03,b'U.S. Defense Secretary Mark Esper said on Wednesday that the United States has reestablished some deterrence toward\xe2\x80\xa6 https://t.co/ZAbo7yDZPO'
1215053121656934403,2020-01-08 23:30:13,b'Ten central trade unions had issued a call for the \xe2\x80\x98Bharat bandh\xe2\x80\x99\nhttps://t.co/3SzcAHr10u'
1215044966340149249,2020-01-08 22:57:49,b'The Democratic-led U.S. House of Representatives will vote Thursday to prevent President Donald Trump from war with\xe2\x80\xa6 https://t.co/KAksrg47qP'
1215039860723064837,2020-01-08 22:37:31,b'A Lebanese prosecutor said Wednesday he was summoning former auto tycoon Carlos Ghosn due to an Interpol \xe2\x80\x9cred notic\xe2\x80\xa6 https://t.co/AAICASBjHq'
1215038013488685056,2020-01-08 22:30:11,"b'Security, as always, gets top priority, says TTD Chairman\nhttps://t.co/7gsmPV9dLy'"
1215036657281437696,2020-01-08 22:24:48,"b'Assistant Professor of the Centre for the Study of Regional Development  in JNU, Amit Thorat claims both police and\xe2\x80\xa6 https://t.co/KLhlZ4XV5A'"
1215035612421603335,2020-01-08 22:20:38,"b'Two rockets crashed late Wednesday into the Iraqi capital\xe2\x80\x99s Green Zone, the high-security enclave where foreign emb\xe2\x80\xa6 https://t.co/fxx7yGVDyJ'"
1215028728587264008,2020-01-08 21:53:17,"b'Actor Juhi Chawla on Wednesday said instead of constantly criticising the government, one should reflect on own con\xe2\x80\xa6 https://t.co/BdrftkiDLP'"
1215022927739052033,2020-01-08 21:30:14,"b'\xe2\x80\x9cThe crew of \xe2\x80\x98Al-Hamid\xe2\x80\x99 comprised 13 Indian citizens,\xe2\x80\x9d the Indian Navy said in a statement\nhttps://t.co/HoAHUFTNWd'"
1215021978962317313,2020-01-08 21:26:28,b'The government is learnt to have informed the Election Commission (EC) that it is looking for a replacement of Delh\xe2\x80\xa6 https://t.co/YAxvvx1Mdw'
1215015626793717760,2020-01-08 21:01:13,"b'The welfare schemes of the Centre came up for a review at a meeting of the Council of Ministers, chaired by Prime M\xe2\x80\xa6 https://t.co/mWVLtO7ljk'"
1215007829276471296,2020-01-08 20:30:14,b'The All Assam Students\xe2\x80\x99 Union too condemned the JNU incident.\nhttps://t.co/3h09VI9bag'
1214994448549130240,2020-01-08 19:37:04,b'APSRTC bus hits private bus with Ayyappa devotees\nhttps://t.co/OjcMjsRMAp'
1214988917650444299,2020-01-08 19:15:06,b'Modi seeking opinions on how to address sector specific and macro economic issues\nhttps://t.co/l90whVAolj'
1214983872330584064,2020-01-08 18:55:03,b'The mandatory re-grassing would be in addition to the other conditions to restore biodiversity imposed on the licen\xe2\x80\xa6 https://t.co/k8uKpB6YXk'
1214977840426504193,2020-01-08 18:31:05,"b'The MoC covers areas of cooperation, including reduction of maternal, neonatal and child morbidity and mortality\nhttps://t.co/gdqMJJoZuC'"
1214967511936049153,2020-01-08 17:50:02,"b'Punjab CM: An elected government that refuses to heed the voice of its people is bound to lose their confidence, co\xe2\x80\xa6 https://t.co/f06zp2h2bw'"
1214962542193336322,2020-01-08 17:30:17,"b'Ursula von der Leyen said negotiating a new U.K.-EU trade deal will be tough, and that \xe2\x80\x9cwith every choice comes a c\xe2\x80\xa6 https://t.co/VLzyAq9ikC'"
1214957469006479360,2020-01-08 17:10:08,b'The decision was conveyed to the Assam government.\nhttps://t.co/9fbFttxfWF'
1214953362438803456,2020-01-08 16:53:49,"b'Just in: Govt to take a group of 17 envoys including from U.S., South America, African and Asian countries to Srina\xe2\x80\xa6 https://t.co/Am4CwAs3Rq'"
1214952831213391873,2020-01-08 16:51:42,b'RT @THChennai: All India Hindu Mahasaba leader Kodambakkam Sri booked for sexually harassing a woman staff'
1214952679371366400,2020-01-08 16:51:06,b'Revenue Minister R.B. Udhayakumar said the party would be the first to raise its voice and defend the interests of\xe2\x80\xa6 https://t.co/uowYkmuUMd'
1214948338090426374,2020-01-08 16:33:51,"b'Just in: Trump says no U.S. casualties, Iran appears to be standing down'"
1214946630216101888,2020-01-08 16:27:03,b'The results of the recently-concluded rural local body elections in 27 districts across Tamil Nadu continued to be\xe2\x80\xa6 https://t.co/leinpryQ4t'
1214942357881262080,2020-01-08 16:10:05,"b'The Bench, while allowing the release of the film made by Meghna Gulzar, kept all contentions of the suit open\nhttps://t.co/UK3mv3gpo6'"
1214937313538707459,2020-01-08 15:50:02,b'Akshay Kumar allegedly disparaged Maratha king Shivaji\xe2\x80\x99s warriors in Nirma detergent ad\nhttps://t.co/duJKnc1vWb'
1214932362699694080,2020-01-08 15:30:22,b'DGCA asked Indian airlines to remain vigilant.\nhttps://t.co/olMweZMw7L'
1214927249717309441,2020-01-08 15:10:03,b'The five warmest years in record have all occurred in the last five years\nhttps://t.co/ezcj36NfyW'
1214925689499066370,2020-01-08 15:03:51,"b'The major news headlines of the day, and more.\nhttps://t.co/sj29BupvWt'"
1214923965464010752,2020-01-08 14:57:00,"b'Hundreds of people gather on Carter road, Bandra to protest against #CitizenshipAmmendmentAct  and recent brutal at\xe2\x80\xa6 https://t.co/oHkoBl6PS3'"
1214922222890033152,2020-01-08 14:50:04,"b'The Ordinance to allow auction of 46 iron ore and other mines before March 31, 2020.\nhttps://t.co/mc3IoAdpVU'"
1214920984999936001,2020-01-08 14:45:09,"b'The police have received 11 complaints, including one lodged by a professor in connection with the violence, offici\xe2\x80\xa6 https://t.co/ay8ADWdILN'"
1214918212820905989,2020-01-08 14:34:08,"b'SanDisk, which Western Digital operates, demonstrated the 8TB SSD prototype at the ongoing CES 2020 trade show on T\xe2\x80\xa6 https://t.co/tMOiOHlv3L'"
1214915920134586368,2020-01-08 14:25:02,b'With a Delhi court on Tuesday ordering the hanging of four convicts in the Nirbhaya gang rape and murder case for J\xe2\x80\xa6 https://t.co/vmTriF7xhU'
1214912411058225152,2020-01-08 14:11:05,b'An Iranian official was quoted as saying both boxes were damaged but that it was believed their data could still be\xe2\x80\xa6 https://t.co/6l0G50dOyG'
1214912169508249600,2020-01-08 14:10:07,"b'A decision in this regard was taken in the meeting of the Cabinet Committee on Economic Affairs (CCEA), headed by P\xe2\x80\xa6 https://t.co/RElaF2LyYg'"
1214907932556443648,2020-01-08 13:53:17,b'Just in: \xe2\x80\x98We don\xe2\x80\x99t retreat in face of America\xe2\x80\x99: Iran president'
1214907371597783042,2020-01-08 13:51:03,"b'Nifty fell 27.60 points, or 0.23%, to finish at 12,025.35.\nhttps://t.co/2Vi8VBUoHJ'"
1214905788516487169,2020-01-08 13:44:46,"b'In statements, Ghosn has said he fled to avoid \xe2\x80\x9cpolitical persecution\xe2\x80\x9d by a \xe2\x80\x9crigged Japanese justice system.\xe2\x80\x9d\nhttps://t.co/oCpULLS8o9'"
1214902119905583105,2020-01-08 13:30:11,b'This is the second time that a gas pipeline project in the country will be funded by the government.\nhttps://t.co/SJLFlqSPEP'
1214899850376097793,2020-01-08 13:21:10,"b'Members of 10 central trade unions across India observed a one-day nationwide strike on January 8 to protest the ""a\xe2\x80\xa6 https://t.co/ND9vnoeTuv'"
1214898219752161281,2020-01-08 13:14:41,"b""RT @TheHinduCinema: Watch director @ARMurugadoss in an exclusive interview on #Darbar and #Rajinikanth, ahead of the film's release tomorro\xe2\x80\xa6"""
1214897812078551042,2020-01-08 13:13:04,b'Silver also jumped by \xe2\x82\xb9855.\nhttps://t.co/YdXZLQDdWl'
1214897140499013633,2020-01-08 13:10:24,b'Just in: Iraq president denounces Iran missile strikes'
1214896482194579457,2020-01-08 13:07:47,b'Just in: Ghosn makes first appearance since skipping bail in Japan'
1214895879762542597,2020-01-08 13:05:24,"b'RT @TheHinduCinema: The Bombay High Court on Wednesday allowed the release of actor #DeepikaPadukone starrer #Chhapaak, which is based on a\xe2\x80\xa6'"
1214892019383963648,2020-01-08 12:50:03,b'JNU students\xe2\x80\x99 union president Aishe Ghosh filed an attempt to murder complaint with the Vasant Kunj North police st\xe2\x80\xa6 https://t.co/QQCeqvEgnM'
1214887014409162752,2020-01-08 12:30:10,b'The development came while hearing a writ petition filed by Pradyuman Bisht in 2015 to improve security in courts a\xe2\x80\xa6 https://t.co/UCnte1bLFI'
1214885013210226688,2020-01-08 12:22:13,"b'The Israeli premier praised U.S. President Donald Trump for \xe2\x80\x9cacting swiftly, boldly, and resolutely\xe2\x80\x9d in killing Sol\xe2\x80\xa6 https://t.co/LavuqGNeTr'"
1214884461445148672,2020-01-08 12:20:01,"b""RT @TheHinduCinema: Even as three of #Telugu art director Sahi Suresh's films \xe2\x80\x94 #WorldFamousLover, #Bheeshma and #MissIndia \xe2\x80\x94 prepare for r\xe2\x80\xa6"""
1214881971551248384,2020-01-08 12:10:08,"b'A video by an IAS officer shows a Coonnoor resident asking the gaur to give way, so she can go to work\nhttps://t.co/mYxx7Dkyrk'"
1214876920036429824,2020-01-08 11:50:03,"b'The growth rate in November and December 2019, though still slow-paced, hints at a possible revival of the economy\xe2\x80\xa6 https://t.co/ZMEzjG9KCK'"
1214876871155843077,2020-01-08 11:49:52,b'RT @THNewDelhi: Just in | Police gets vital leads on identities of masked men who attacked students at #JNU; on verge of cracking case: Gov\xe2\x80\xa6'
1214876794291183617,2020-01-08 11:49:33,b'Mr. Javadekar said there was need to remember what happened in the university last week\nhttps://t.co/WPGpgm4h8m'
1214875858105589760,2020-01-08 11:45:50,"b""RT @TheHinduCinema: The teaser of @MadrasTalkies_  and #ManiRatnam's #VaanamKottattum showcases an intense family drama with a fantastic ca\xe2\x80\xa6"""
1214875730665885696,2020-01-08 11:45:20,b'Just in | Marathon arguments in the #Thoothukudi #Sterlite copper plant reopening case come to an end. Justices T.S\xe2\x80\xa6 https://t.co/tbPOsQqdik'
1214871915703214080,2020-01-08 11:30:10,"b""Nutrition expert Rujuta Diwekar's prefers meal plan to lose those inches and increase your metabolism\xe2\x80\xa6 https://t.co/YQoFhXhRsS"""
1214871565071876096,2020-01-08 11:28:46,"b""RT @TheHinduCinema: #Darbar is #Rajinikanth's 167th movie in a career spanning nearly five decades. The movie comes at an important junctur\xe2\x80\xa6"""
1214868896563380226,2020-01-08 11:18:10,"b'Just in: TMC cadres, police indulged in arson in Malda during tradeunions\xe2\x80\x99 strike and blamed Left cadres; Bengal CM\xe2\x80\xa6 https://t.co/sjLGToNrQ2'"
