id,created_at,text
1215115980722069504,2020-01-09 03:40:00,b'OnePlus reveals phone with \xe2\x80\x98invisible cameras\xe2\x80\x99: Here\xe2\x80\x99s how it works https://t.co/XMYLk4cB57 via @gadgetsnow'
1215113902859542530,2020-01-09 03:31:44,b'The only time India hanged four people\n\nThe Nirbhaya hanging order echoes Joshi-Abhyankar killings of 70s Pune and\xe2\x80\xa6 https://t.co/VJIZiXyeXZ'
1215113464093560832,2020-01-09 03:30:00,"b'US and Iran stand down, veer away from outright war https://t.co/JFEinQdCGN via @TOIWorld https://t.co/Ws8UI1nips'"
1215111433752416257,2020-01-09 03:21:56,"b""RT @toisports: India 'A' warm-ups to be @hardikpandya7's fitness test before T20s in New Zealand \n\nREAD: https://t.co/vnz34dT8tP \xf0\x9f\x8f\x8f\n\n#Hardik\xe2\x80\xa6"""
1215109689232392192,2020-01-09 03:15:00,"b""Nearing Closure\n\nBut delays in #NirbhayaCase highlight the continuing gaps in judicial processes\n\nRead today's TOI\xe2\x80\xa6 https://t.co/8nXXm3Cwk2"""
1215108906059304965,2020-01-09 03:11:53,"b""RT @toisports: Who is @imVkohli's 'surprise package'? \n\nREAD: https://t.co/uJgKlwqYzL \xf0\x9f\x8f\x8f\n\n#ViratKohli #INDvSL #INDvsSL #PrasidhKrishna https\xe2\x80\xa6"""
1215108430995906561,2020-01-09 03:10:00,"b""Cops zero in on 3 masked #JNU attackers, probe insiders' role \n\nREAD: https://t.co/NvqVPzwdsd https://t.co/gpx1qC44wu"""
1215105915688370178,2020-01-09 03:00:00,"b""OK Boomer\n\nYouth are the future and naturally they should have a say in it\n\nRead today's TOI Edit \xf0\x9f\x91\x87\xe2\x80\xa6 https://t.co/4TfoCnmZFp"""
1215105619025219585,2020-01-09 02:58:49,"b'ADWISE: \xe2\x80\x98I\xe2\x80\x99m being ignored after I returned from long leave\xe2\x80\x99 \n\nIs there anything that\xe2\x80\x99s bothering you at work, whic\xe2\x80\xa6 https://t.co/fbYGmKFdRb'"
1215104036317229056,2020-01-09 02:52:32,b'RT @toisports: #RMAVAL \n\n@ToniKroos stunner helps @realmadriden through to Spanish #SuperCup final \n\nReport \xf0\x9f\x91\x89 https://t.co/ix5LNYcpWO https\xe2\x80\xa6'
1215101608775704576,2020-01-09 02:42:53,b'After anti-Romeo squads Shakespeare can inspire more protection brigades \xe2\x80\x93 look next to Cordelia and Duncan\n\nRead t\xe2\x80\xa6 https://t.co/DcgjxC8sDD'
1215099425581760512,2020-01-09 02:34:13,b'RT @toisports: #BenStokes #SAvENG #4daytests \n\n@benstokes38 makes case for Test cricket as debate rages over 5-day format \n\nMore here \xf0\x9f\x91\x89 htt\xe2\x80\xa6'
1215099348209393664,2020-01-09 02:33:54,"b""Why judges want CISF to take over court security... \n\nRead this and more in today's #TimesTop10: Special stories of\xe2\x80\xa6 https://t.co/QNNfXdFgRx"""
1215098826312290305,2020-01-09 02:31:50,"b""YOU SHARE YOUR B'DAY WITH... https://t.co/mFalUsKWZS"""
1215098446576672770,2020-01-09 02:30:19,"b""Two rockets hit #Iraqi capital's Green Zone: Security sources https://t.co/915uKYL403 via @TOIWorld https://t.co/UGAkDDvFAn"""
1215095624300781568,2020-01-09 02:19:06,"b""The Reforms We Need\n\nThese Budget and other moves will bring the economy back on track\n\nRead today's op-ed by Arvin\xe2\x80\xa6 https://t.co/k8ZF0aTaNe"""
1215094641533452288,2020-01-09 02:15:12,"b""#Patparganj #Delhi #Fire \n\nFire broke out at a paper printing press in east Delhi's Patparganj Industrial Area toda\xe2\x80\xa6 https://t.co/A4jbMyngQ1"""
1215091520522440704,2020-01-09 02:02:48,"b""Two rockets hit Iraqi capital's Green Zone: Security sources https://t.co/EuiDoPY7Dz"""
1215089738140602369,2020-01-09 01:55:43,"b""Cops zero in on 3 masked JNU attackers, probe insiders' role https://t.co/aGVAo9fvCy"""
1215088161304350720,2020-01-09 01:49:27,"b'India may slap trade curbs on Malaysia for its J&amp;amp;K, CAA stand https://t.co/p3oibENU0M'"
1215086491900100609,2020-01-09 01:42:49,b'Flights to get longer as carriers avoid Iran airspace https://t.co/orBEKjE2ws via @TOIBusiness'
1215084947704168448,2020-01-09 01:36:41,"b'Amid raging CAA stir, PM Modi cancels Assam visit for 2nd time in a month https://t.co/qfNheLDYHe'"
1215083268896260096,2020-01-09 01:30:01,b'Navy on standby for emergency evacuations https://t.co/XAt5wiD9HY'
1215081370302599169,2020-01-09 01:22:28,"b'No kid killed in Muzaffarpur shelter, skeletons were of adults: CBI to SC https://t.co/WzlRa8ULus'"
1215079715960016898,2020-01-09 01:15:54,b'SC to government: Why not have a CISF wing for courts? https://t.co/8p9JS6T10i'
1215073585791823872,2020-01-09 00:51:32,"b'Violence rocks Bengal, bandh peaceful elsewhere https://t.co/femQ8N8Vk4'"
1215068394027769857,2020-01-09 00:30:54,b'Top Army General leads team to China to boost defence ties https://t.co/MQZxeun6rh'
1215060785426100225,2020-01-09 00:00:40,b'Nod for more proof to UK against Nirav Modi https://t.co/mmnn6O4p5x via @TOIBusiness'
1215054868584419328,2020-01-08 23:37:09,b'Uddhav government asks for Koregaon case report https://t.co/pvZP3yBiol'
1215047784031645696,2020-01-08 23:09:00,b'EU envoys not in group visiting J&amp;amp;K https://t.co/LmVlHvR9Sw'
1215044045770121218,2020-01-08 22:54:09,"b'Government okays Rs 5,559-crore booster for northeast gas grid https://t.co/EDLcgjiPPE'"
1215036740303343617,2020-01-08 22:25:07,"b""Prince Harry, Meghan to step back as 'senior' royals https://t.co/K9hD9ehnaI"""
1215032718624317440,2020-01-08 22:09:08,b'Ukrainian plane crash in Iran kills 176; attack not ruled out https://t.co/SbMp7N2JXN'
1215021329553821696,2020-01-08 21:23:53,"b""RT @AFP: #BREAKING Two rockets hit Iraqi capital's Green Zone: security sources https://t.co/MTIeMEavmq"""
